Analys.batch,std.batch,#,ID,Chem.ID,redo.flag,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,IS Area,Scn.Conc.,Scort.Conc.,Tdin.Conc.,Tcin.Conc.
1,1,61,HS Batch 1,31,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,665358,0.01185,0.174631,0.00758,0.178052
1,1,62,HS Batch 1,32,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,627067,0.00543,0.049975,0.004659,0.033114
1,1,63,HS Batch 1,33,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,643175,0.065995,0.031528,0.064636,0.031957
1,1,64,HS Batch 1,34,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,665299,0.082336,0.048496,0.067864,0.059975
1,1,65,HS Batch 1,35,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,643253,0.057399,0.129269,0.058447,0.146266
1,1,66,HS Batch 1,36,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,672742,0.041321,0.112411,0.025009,0.107305
1,1,67,HS Batch 1,37,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,653419,0.075,0.014738,0.088993,0.037024
1,1,68,HS Batch 1,38,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,666674,0.062576,0.04644,0.049014,0.068028
1,1,75,HS Batch 2,39,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1018752,0.058056,0.01766,0.048399,0.032687
1,1,76,HS Batch 2,40,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1018034,0.020518,0.220806,0.008264,0.218834
1,1,77,HS Batch 2,41,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1034607,0.057323,0.251665,0.022417,0.254125
1,1,78,HS Batch 2,42,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1045798,0.071892,0.057849,0.025462,0.052124
1,1,79,HS Batch 2,43,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1052172,0.076205,0.146714,0.027141,0.181961
1,1,80,HS Batch 2,44,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1080704,0.095228,0.04442,0.04954,0.093723
