Quantify Compound Summary Report 

Printed Thu Dec 20 12:58:55 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
44	44	HS Batch 5-2	HS-247-b	Analyte		9.27	21681	1113015	0.019	bbI		
45	45	HS Batch 5-2	HS-248-b	Analyte		9.27	1976	1080248	0.002	bbI		
46	46	HS Batch 5-2	HS-249-b	Analyte		9.27	9400	1089712	0.009	bbI		
47	47	HS Batch 5-2	HS-250-b	Analyte		9.24	8347	1139264	0.007	bbI		
48	48	HS Batch 5-2	HS-251-b	Analyte		9.24	5407	1102164	0.005	bbI		
49	49	HS Batch 5-2	HS-252-b	Analyte		9.27	8177	1131037	0.007	bbI		
50	50	HS Batch 5-2	HS-253-b	Analyte		9.27	10804	1135123	0.010	bbI		
51	51	HS Batch 5-2	HS-254-b	Analyte		9.24	15760	1145628	0.014	bbI		
52	52	HS Batch 5-2	HS-255-b	Analyte		9.24	10031	1153808	0.009	bbI		
53	53	HS Batch 5-2	HS-256-b	Analyte		9.27	15028	1095183	0.014	bbI		
54	54	HS Batch 5-2	HS-257-b	Analyte		9.27	49072	1127624	0.044	bbI		
55	55	HS Batch 5-2	HS-5b_241_1712_C	Analyte		9.24	22601	1172677	0.019	bbI		
56	56	HS Batch 5-2	HS-5b_255_1712_C	Analyte		9.27	23354	1272998	0.018	bbI		
57	57	HS Batch 5-2	HS-258-b	Analyte		9.27	9080	1115672	0.008	bbI		
58	58	HS Batch 5-2	HS-259-b	Analyte		9.27	26870	1106195	0.024	bbI		
59	59	HS Batch 5-2	HS-260-b	Analyte		9.27	21604	1124924	0.019	bbI		
60	60	HS Batch 5-2	HS-261-b	Analyte		9.24	10229	1081188	0.009	bbI		
61	61	HS Batch 5-2	HS-262-b	Analyte		9.27	28555	1049583	0.027	bbI		
62	62	HS Batch 5-2	HS-263-b	Analyte		9.27	18766	1159035	0.016	bbI		
63	63	HS Batch 5-2	HS-264-b	Analyte		9.27	31250	1097605	0.028	bbI		
64	64	HS Batch 5-2	HS-265-b	Analyte		9.27	37180	1127196	0.033	bbI		
65	65	HS Batch 5-2	HS-266-b	Analyte		9.27	22999	1176172	0.020	bbI		
66	66	HS Batch 5-2	HS-267-b	Analyte		9.27	12404	1088977	0.011	bbI		
67	67	HS Batch 5-2	HS-268-b	Analyte		9.27	41389	1141405	0.036	bbI		
68	68	HS Batch 5-2	HS-269-b	Analyte		9.27	37440	1128903	0.033	bbI		
69	69	HS Batch 5-2	HS-270-b	Analyte		9.27	13639	1198252	0.011	bbI		
70	70	HS Batch 5-2	HS-5b_241_1712_D	Analyte		9.27	23125	1214457	0.019	bbI		
71	71	HS Batch 5-2	HS-5b_255_1712_D	Analyte		9.27	23947	1223292	0.020	bbI		
72	72	HS Batch 5-2	HS-271-b	Analyte		9.27	25165	1138116	0.022	bbI		
73	73	HS Batch 5-2	HS-272-b	Analyte		9.27	25326	1138983	0.022	bbI		
74	74	HS Batch 5-2	HS-273-b	Analyte		9.27	23974	1129438	0.021	bbI		
75	75	HS Batch 5-2	HS-274-b	Analyte		9.27	40607	1137600	0.036	bbI		
76	76	HS Batch 5-2	HS-275-b	Analyte		9.27	3420	1102223	0.003	bbI		
77	77	HS Batch 5-2	HS-276-b	Analyte		9.27	14567	1157836	0.013	bbI		
78	78	HS Batch 5-2	HS-277-b	Analyte		9.27	19416	1151842	0.017	bbI		
79	79	HS Batch 5-2	HS-278-b	Analyte		9.27	20925	1148381	0.018	bbI		
80	80	HS Batch 5-2	HS-279-b	Analyte		9.27	5235	1160458	0.005	bbI		
81	81	HS Batch 5-2	HS-280-b	Analyte		9.27	18663	1091699	0.017	bbI		
82	82	HS Batch 5-2	HS-281-b	Analyte		9.27	6790	1127037	0.006	bbI		
83	83	HS Batch 5-2	HS-282-b	Analyte		9.27	9548	1146098	0.008	bbI		
84	84	HS Batch 5-2	HS-283-b	Analyte		9.27	5324	1157584	0.005	bbI		
85	85	HS Batch 5-2	HS-5b_241_1712_E	Analyte		9.27	23139	1177089	0.020	bbI		
86	86	HS Batch 5-2	HS-5b_255_1712_E	Analyte		9.27	21238	1223372	0.017	bbI		
87	87	HS Batch 5-2	HS-284-b-	Analyte		9.24	28240	1145918	0.025	bbI		
88	88	HS Batch 5-2	HS-285-b	Analyte		9.27	34956	1105963	0.032	bbI		
89	89	HS Batch 5-2	HS-286-b	Analyte		9.24	27737	1150162	0.024	bbI		
90	90	HS Batch 5-2	HS-287-b	Analyte		9.24	25933	1154103	0.022	bbI		
91	91	HS Batch 5-2	HS-288-b	Analyte		9.27	12920	1210298	0.011	bbI		
92	92	HS Batch 5-2	HS-289-b	Analyte		9.27	36540	1163979	0.031	bbI		
93	93	HS Batch 5-2	HS-290-b	Analyte		9.27	4637	1097183	0.004	bbI		
94	94	HS Batch 5-2	HS-291-b	Analyte		9.27	22714	1227421	0.019	bbI		
95	95	HS Batch 5-2	HS-292-b	Analyte		9.24	27024	1211285	0.022	bbI		
96	96	HS Batch 5-2	HS-293-b	Analyte		9.24	56702	1193986	0.047	bbI		
97	97	HS Batch 5-2	HS-294-b	Analyte		9.24	49400	1240121	0.040	bbI		
98	98	HS Batch 5-2	HS-295-b	Analyte		9.24	16701	1143650	0.015	bbI		
99	99	HS Batch 5-2	HS-296-b	Analyte		9.24	30617	1111486	0.028	bbI		
100	100	HS Batch 5-2	HS-5b_241_1712_F	Analyte		9.24	24406	1214025	0.020	bbI		
101	101	HS Batch 5-2	HS-5b_255_1712_F	Analyte		9.24	22682	1246728	0.018	bbI		
102	102	HS Batch 5-2	HS-297-b	Analyte		9.24	22326	1178716	0.019	bbI		
103	103	HS Batch 5-2	HS-298-b	Analyte		9.24	52191	1103121	0.047	bbI		
104	104	HS Batch 5-2	HS-299-b	Analyte		9.24	2379	1159658	0.002	bbI		
105	105	HS Batch 5-2	HS-300-b	Analyte		9.24	50051	1161582	0.043	bbI		
106	106	HS Batch 5-2	HS-301-b	Analyte		9.24	39139	1209165	0.032	bbI		
107	107	HS Batch 5-2	HS-302-b	Analyte		9.24	10130	1209815	0.008	bbI		
108	108	HS Batch 5-2	HS-303-b	Analyte		9.24	11037	1170412	0.009	bbI		
109	109	HS Batch 5-2	HS-304-b	Analyte		9.24	12894	1266917	0.010	bbI		
110	110	HS Batch 5-2	HS-305-b	Analyte		9.24	20483	1185202	0.017	bbI		
111	111	HS Batch 5-2	HS-306-b	Analyte		9.24	4773	1200324	0.004	bbI		
112	112	HS Batch 5-2	HS-307-b	Analyte		9.24	26179	1283331	0.020	bbI		
113	113	HS Batch 5-2	HS-308-b	Analyte		9.24	24477	1157253	0.021	bbI		
114	114	HS Batch 5-2	HS-309-b	Analyte		9.24	6693	1295243	0.005	bbI		
115	115	HS Batch 5-2	HS-5b_241_1712_G	Analyte		9.24	23793	1225513	0.019	bbI		
116	116	HS Batch 5-2	HS-5b_255_1712_G	Analyte		9.24	24310	1234582	0.020	bbI		
117	117	HS Batch 5-2	BLANK_17122018_B	Blank		9.45	5	325	0.014	bbI		

