"","Genet","SerialNo","Tree.ID","Genet.Compound","total.vol.2017","total.vol.2016","group","CTpct.aug16","CTpct.jun16","PGpctsum.Corr.aug16","PGpctsum.Corr.jun16"
"87","336",451,"2_C_3","336",35.39417296625,17.41456995616,"slow",12.9020979,14.94117647,1.16824773000089,1.50074801280009
"88","368",1053,"3_J_17","368",48.44288,22.038499602,"med",4.581818182,3,9.7953760700137,12.8431653165344
"89","368",172,"1_G_4","368",68.541265,34.350301632,"med",5.837438424,5.696202532,12.5661575876016,15.4775972618832
"90","368",672,"2_J_28","368",43.706931255,21.5322624,"med",3.392226148,3.917525773,13.439106242318,14.6190975991699
"91","5",1317,"4_F_1","5",34.327362384,13.84843183699,"med",11.18181818,13.69565217,3.02407799573223,5.57239537624856
"92","5",586,"2_G_26","5",42.728512148,19.2222466148025,"med",10.33492823,12.12890625,1.97058633530759,2.5849440962556
"93","5",950,"3_F_26","5",41.4072684045,17.0919994192475,"med",11.70886076,14.02173913,3.83671207646335,3.88295501053357
"94","58",159,"1_F_19","58",48.692952525,24.44704349088,"med",7.933884298,5.016891892,5.0109529538094,7.63755377370753
"95","58",441,"2_B_21","58",27.7333356375,10.8613636722,"med",6.079295154,8.244274809,4.17847929780658,8.81197180875934
"96","58",902,"3_E_6","58",72.4501472,34.47562270724,"med",6.781609195,10.27777778,3.81203482972819,4.94481198982963
"97","6",1249,"4_C_17","6",14.358708903175,6.3553387437675,"slow",11.4,9.604743083,1.13904072527753,2.85759086187423
"98","6",156,"1_F_16","6",9.31093882157,3.58774253875,"slow",12.85714286,10.29411765,3.81026257403521,4.48853288236805
"99","6",602,"2_H_14","6",37.644258208,17.27602191225,"slow",10.23722628,13.7593985,1.56302734323448,2.58743992083172
"100","63",328,"1_L_20","63",102.772845,51.3473144121,"fast",4.953488372,6.169354839,4.84250064983304,7.00745297078881
"101","63",512,"2_E_8","63",101.121515,52.579576833905,"fast",3.629032258,5.682819383,4.40272775577942,5.35199665264364
"102","63",941,"3_F_17","63",80.2947213,68.543368441945,"fast",6.063829787,6.681818182,5.03835639028991,6.41212941988054
"103","66",1032,"3_I_24","66",19.9057256250325,9.784544,"slow",7.868852459,8.333333333,5.32565368825513,7.47334497680069
"104","66",153,"1_F_13","66",29.732703552,12.74813041936,"slow",8.11827957,7.962085308,4.44767063137661,5.87114209918435
"105","66",647,"2_J_3","66",22.04381642409,12.678485049,"slow",7.586872587,8.20754717,2.90638057893141,6.02136912344189
"106","91",1190,"4_A_14","91",82.570645227315,37.64125944682,"fast",7.243346008,8.486842105,2.70681371066197,3.731957849362
"107","91",242,"1_I_18","91",89.6663896,53.91599431156,"fast",7.727272727,9.111570248,2.19063957508682,4.72022524552254
"108","91",555,"2_F_23","91",134.208,71.90458695,"fast",6.428571429,10.05747126,3.52887220187042,4.16442638289601
