Analys.batch,std.batch,#,ID,Chem.ID,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,redo.flag,Type,Std. Conc,Scn.RT,Scn.Area,Scn.IS Area,Scn.Response,Scn.Detection Flags,Scn.Conc.,Scn.pctDev,Scort.Std. Conc,,Scort.RT,Scort.Area,Scort.IS Area,Scort.Response,Scort.Detection Flags,Scort.Conc.,Scort.pctDev,Tdin.Std. Conc,Tdin.RT,Tdin.Area,Tdin.IS Area,Tdin.Response,Tdin.Detection Flags,Tdin.Conc.,Tdin.pctDev,Tcin.Std. Conc,Tcin.RT,Tcin.Area,Tcin.IS Area,Tcin.Response,Tcin.Detection Flags,Tcin.Conc.,Tcin.pctDev
1,1,64,HS Batch 1,34,25.5,1.055838118,0.621889882,0.870256,0.769091176,,Analyte,,2.65,111050,665299,0.167,bb,0.082336,,,,5.81,232688,665299,0.35,bb,0.048496,,,10.08,225556,665299,0.339,bb,0.067864,,,16.09,404778,665299,0.608,bb,0.059975,
1,1,65,HS Batch 1,35,27.5,0.682526291,1.537125927,0.694987964,1.739235709,,Analyte,,2.65,75906,643253,0.118,bb,0.057399,,,,5.81,580043,643253,0.902,bb,0.129269,,,10.08,189605,643253,0.295,bb,0.058447,,,16.09,908627,643253,1.413,bb,0.146266,
1,1,66,HS Batch 1,36,26.9,0.502303606,1.36648316,0.304012751,1.304413941,,Analyte,,2.65,57660,672742,0.086,bb,0.041321,,,,5.81,531252,672742,0.79,bb,0.112411,,,10.08,87685,672742,0.13,bb,0.025009,,,16.09,713030,672742,1.06,bb,0.107305,
1,1,67,HS Batch 1,37,24.9,0.984939759,0.193547229,1.168703253,0.486218795,,Analyte,,2.65,99761,653419,0.153,bb,0.075,,,,5.81,70404,653419,0.108,bb,0.014738,,,10.08,284310,653419,0.435,bb,0.088993,,,16.09,248550,653419,0.38,bb,0.037024,
1,1,68,HS Batch 1,38,24.9,0.821781205,0.609874699,0.643677831,0.893379759,,Analyte,,2.65,85517,666674,0.128,bb,0.062576,,,,5.81,223471,666674,0.335,bb,0.04644,,,10.08,166348,666674,0.25,bb,0.049014,,,16.09,458012,666674,0.687,bb,0.068028,
1,1,75,HS Batch 2,39,24.8,0.765496452,0.232855645,0.638164234,0.430993911,,Analyte,,2.67,121546,1018752,0.119,bb,0.058056,,,,5.83,131372,1018752,0.129,bb,0.01766,,,10.11,251157,1018752,0.247,bb,0.048399,,,16.16,342940,1018752,0.337,bb,0.032687,
1,1,76,HS Batch 2,40,21.5,0.312064465,3.358305209,0.125689674,3.328312465,,Analyte,,2.67,43825,1018034,0.043,bb,0.020518,,,,5.83,1507834,1018034,1.481,bb,0.220806,,,10.11,44557,1018034,0.044,bb,0.008264,,,16.13,2060225,1018034,2.024,bb,0.218834,
1,1,77,HS Batch 2,41,21.7,0.863807419,3.792371198,0.337804562,3.829441244,,Analyte,,2.67,121929,1034607,0.118,bb,0.057323,,,,5.83,1723029,1034607,1.665,bb,0.251665,,,10.11,121176,1034607,0.117,bb,0.022417,,,16.13,2379051,1034607,2.299,bb,0.254125,
1,1,78,HS Batch 2,42,23.7,0.991927595,0.798169747,0.351311139,0.719179241,,Analyte,,2.67,153318,1045798,0.147,bb,0.071892,,,,5.83,434653,1045798,0.416,bb,0.057849,,,10.11,138714,1045798,0.133,bb,0.025462,,,16.13,555401,1045798,0.531,bb,0.052124,
1,1,79,HS Batch 2,43,26.5,0.940340943,1.810395396,0.334909698,2.245330075,,Analyte,,2.67,163111,1052172,0.155,bb,0.076205,,,,5.83,1068939,1052172,1.016,bb,0.146714,,,10.08,148523,1052172,0.141,bb,0.027141,,,16.11,1810371,1052172,1.721,bb,0.181961,
1,1,80,HS Batch 2,44,23.1,1.348032727,0.628802597,0.701280519,1.326728182,,Analyte,,2.67,207114,1080704,0.192,bb,0.095228,,,,5.81,346783,1080704,0.321,bb,0.04442,,,10.08,272403,1080704,0.252,bb,0.04954,,,16.11,1008209,1080704,0.933,bb,0.093723,
1,1,81,HS Batch 2,45,23.9,0.257536444,1.893412092,0.06546841,1.021444017,,Analyte,,2.67,43011,1088102,0.04,bb,0.018823,,,,5.81,1046363,1088102,0.962,bb,0.138387,,,10.08,27665,1088102,0.025,bb,0.004785,,,16.09,817335,1088102,0.751,bb,0.074656,
1,1,82,HS Batch 2,46,25.5,0.243236706,2.362248,0.085507294,1.893535176,,Analyte,,2.67,43598,1094632,0.04,bb,0.018968,,,,5.81,1374178,1094632,1.255,bb,0.184212,,,10.08,38714,1094632,0.035,bb,0.006668,,,16.09,1559694,1094632,1.425,bb,0.147661,
1,1,83,HS Batch 2,47,28.7,1.295706167,0.900856516,0.954372857,0.774750732,,Analyte,,2.67,243187,1073877,0.226,bb,0.113721,,,,5.81,604753,1073877,0.563,bb,0.079066,,,10.08,442166,1073877,0.412,bb,0.083763,,,16.09,737454,1073877,0.687,bb,0.067998,
1,1,84,HS Batch 2,48,20.9,1.116697177,1.260311196,0.880881675,1.500382392,,Analyte,,2.65,155171,1065823,0.146,bb,0.071373,,,,5.81,611122,1065823,0.573,bb,0.080552,,,10.08,303275,1065823,0.285,bb,0.056301,,,16.09,1016123,1065823,0.953,bb,0.095896,
1,1,85,HS Batch 2,49,21.4,0.474363925,2.758046355,0.222711449,2.144753271,,Analyte,,2.67,68377,1055892,0.065,bb,0.031044,,,,5.81,1300877,1055892,1.232,bb,0.180496,,,10.06,81018,1055892,0.077,bb,0.014575,,,16.07,1436209,1055892,1.36,bb,0.14036,
1,1,86,HS Batch 2,50,21,2.270828143,0.504078286,1.75272,1.200494857,,Analyte,,2.65,308035,1080663,0.285,bb,0.145833,,,,5.81,253945,1080663,0.235,bb,0.032372,,,10.06,580282,1080663,0.537,bb,0.11256,,,16.07,837129,1080663,0.775,bb,0.077096,
1,1,87,HS Batch 2,51,21.1,0.934212654,2.302110995,0.500697441,1.973375261,,Analyte,,2.65,131563,1063317,0.124,bb,0.060281,,,,5.81,1092901,1063317,1.028,bb,0.148546,,,10.08,177774,1063317,0.167,bb,0.032308,,,16.07,1322046,1063317,1.243,bb,0.127334,
1,1,90,HS Batch 2,52,28.9,1.84145128,2.445597924,0.66758917,2.802582353,,Analyte,,2.65,336705,1069078,0.315,bb,0.162746,,,,5.81,1553127,1069078,1.453,bb,0.21614,,,10.06,317931,1069078,0.297,bb,0.059001,,,16.05,2405682,1069078,2.25,bb,0.24769,
1,1,91,HS Batch 2,53,21,1.267016,0.699126,0.844734429,1.103329143,,Analyte,,2.65,177724,1076815,0.165,bb,0.081368,,,,5.81,349186,1076815,0.324,bb,0.044898,,,10.06,295840,1076815,0.275,bb,0.054249,,,16.06,769323,1076815,0.714,bb,0.070856,
1,1,92,HS Batch 2,54,24.1,0.220270456,1.687808465,0.055793527,1.079602033,,Analyte,,2.65,36901,1080865,0.034,bb,0.016234,,,,5.81,939797,1080865,0.869,bb,0.124392,,,10.06,23629,1080865,0.022,bb,0.004112,,,16.05,862927,1080865,0.798,bb,0.079567,
