Quantify Compound Summary Report 

Printed Tue Dec 04 12:09:22 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
12	12	HS Batch 1	BLANK_07112018_C	Blank		9.44	13	156	0.083	bbI		
13	13	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	0.0150			544691				
14	14	HS Batch 1	TremulacinSTD_003_0711_A	Standard	0.0300	9.42	183	614746	0.000	bbI		-100.0
15	15	HS Batch 1	TremulacinSTD_015_0711_A	Standard	0.1500	9.47	44	650126	0.000	bb	0.041247	-72.5
16	16	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	0.3750	9.54	18	590253	0.000	bb	0.018521	-95.1
17	17	HS Batch 1	TremulacinSTD_075_0711_A	Standard	0.7500	9.29	10	632565	0.000	bb	0.009464	-98.7
18	18	HS Batch 1	TremulacinSTD_100_0711_A	Standard	1.0000			601401				
19	19	HS Batch 1	BLANK_07112018_D	Blank		9.24	12	286	0.043	bbI		
20	20	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	0.0000	9.39	12	592642	0.000	bb	0.011992	
21	21	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	0.0000	9.42	10	599975	0.000	bb	0.010143	
22	22	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	0.0000	9.52	21	613942	0.000	bb	0.020057	
23	23	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	0.0000	9.11	224	614047	0.000	bbI		
24	24	HS Batch 4	BLANK_16112018_A	Blank		9.42	37	12	3.040	bbI		
25	25	HS Batch 4	HS-4_221_1611_A	Analyte		9.24	15846	1109150	0.014	bbI		
26	26	HS Batch 4	HS-4_251_1211_A	Analyte		9.22	19382	1183912	0.016	bbI		
27	27	HS Batch 4	HS-155	Analyte		9.22	10879	1224713	0.009	bbI		
28	28	HS Batch 4	HS-156	Analyte		9.19	20503	1131466	0.018	bbI		
29	29	HS Batch 4	HS-157	Analyte		9.19	30540	1117262	0.027	bbI		
30	30	HS Batch 4	HS-158	Analyte		9.19	11228	1095665	0.010	bbI		
31	31	HS Batch 4	HS-159	Analyte		9.17	11002	1127649	0.010	bbI		
32	32	HS Batch 4	HS-160	Analyte		9.17	33668	1141760	0.029	bbI		
33	33	HS Batch 4	HS-161	Analyte		9.17	27034	1106698	0.024	bbI		
34	34	HS Batch 4	HS-162	Analyte		9.14	20229	1166177	0.017	bbI		
35	35	HS Batch 4	HS-163	Analyte		9.14	14785	1149224	0.013	bbI		
36	36	HS Batch 4	HS-164	Analyte		9.14	27197	1107925	0.025	bbI		
37	37	HS Batch 4	HS-165	Analyte		9.14	18212	1204398	0.015	bbI		
38	38	HS Batch 4	HS-166	Analyte		9.12	55995	1114559	0.050	bbI		
39	39	HS Batch 4	HS-167	Analyte		9.12	5677	1141968	0.005	bbI		
40	40	HS Batch 4	HS-4_221_1611_B	Analyte		9.12	18920	1208772	0.016	bbI		
41	41	HS Batch 4	HS-4_251_1211_B	Analyte		9.12	20613	1197875	0.017	bbI		
42	42	HS Batch 4	HS-168	Analyte		9.12	21029	1113664	0.019	bbI		
