Quantify Compound Summary Report 

Printed Fri Nov 09 10:38:52 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 1	SalicinSTD_0015_0711_A	Standard	1.0000	8.75	435155	435155	1.000	bb	1.000000	0.0
2	2	HS Batch 1	SalicinSTD_003_0711_A	Standard	1.0000	8.75	450292	450292	1.000	bb	1.000000	0.0
3	3	HS Batch 1	SalicinSTD_015_0711_A	Standard	1.0000	8.75	467967	467967	1.000	bb	1.000000	0.0
4	4	HS Batch 1	SalicinSTD_0375_0711_A	Standard	1.0000	8.75	469299	469299	1.000	bb	1.000000	0.0
5	5	HS Batch 1	BLANK_07112018_B	Blank	1.0000	8.55	50	50	1.000	bb	1.000000	0.0
6	6	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	1.0000	8.73	505405	505405	1.000	bb	1.000000	0.0
7	7	HS Batch 1	SalicortinSTD_003_0711_A	Standard	1.0000	8.70	526289	526289	1.000	bb	1.000000	0.0
8	8	HS Batch 1	SalicortinSTD_015_0711_A	Standard	1.0000	8.70	550080	550080	1.000	bb	1.000000	0.0
9	9	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	1.0000	8.70	559202	559202	1.000	bb	1.000000	0.0
10	10	HS Batch 1	SalicortinSTD_075_0711_A	Standard	1.0000	8.62	535144	535144	1.000	bb	1.000000	0.0
11	11	HS Batch 1	SalicortinSTD_100_0711_A	Standard	1.0000	8.62	538973	538973	1.000	bb	1.000000	0.0
12	12	HS Batch 1	BLANK_07112018_C	Blank	1.0000	9.06	156	156	1.000	bb	1.000000	0.0
13	13	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	1.0000	8.62	544691	544691	1.000	bb	1.000000	0.0
14	14	HS Batch 1	TremulacinSTD_003_0711_A	Standard	1.0000	8.60	614746	614746	1.000	bb	1.000000	0.0
15	15	HS Batch 1	TremulacinSTD_015_0711_A	Standard	1.0000	8.60	650126	650126	1.000	bb	1.000000	0.0
16	16	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	1.0000	8.60	590253	590253	1.000	bb	1.000000	0.0
17	17	HS Batch 1	TremulacinSTD_075_0711_A	Standard	1.0000	8.60	632565	632565	1.000	bb	1.000000	0.0
18	18	HS Batch 1	TremulacinSTD_100_0711_A	Standard	1.0000	8.57	601401	601401	1.000	bb	1.000000	0.0
19	19	HS Batch 1	BLANK_07112018_D	Blank	1.0000	8.75	286	286	1.000	bb	1.000000	0.0
20	20	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	1.0000	8.60	592642	592642	1.000	bb	1.000000	0.0
21	21	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	1.0000	8.57	599975	599975	1.000	bb	1.000000	0.0
22	22	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	1.0000	8.57	613942	613942	1.000	bb	1.000000	0.0
23	23	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	1.0000	8.57	614047	614047	1.000	bb	1.000000	0.0
24	24	HS Batch 1	BLANK_07112018_E	Blank	1.0000	8.98	153	153	1.000	bb	1.000000	0.0
25	25	HS Batch 1	HS-1_250_0711_A	Analyte	1.0000	8.53	539990	539990	1.000	bb	1.000000	0.0
