"","Dish.ID","group","genet.lf","gen.num","vial.num","lf.init.wetmass_mg","lf.init.drymass_mg","lf.end.drymass_mg","gm.init.wetmass_mg","gm.init.drymass_mg","gm.end.drymass_mg","start.date_dmy","start_24.00.00","end.date_dmy","end_24.00.00","molting_bin","leaves","elapsed.time_hours","mean.biomass.prop","lf.init.drymass_group.calib_mg","bmass.consumed_group.cal","rel.bmass.cons_group.cal","rel.bmass.cons_no.cal","dish.bmass.consumed","leaf.preference","Scin.DW.mean","Scin.DW.sd","Scort.DW.mean","Scort.DW.sd","Tdin.DW.mean","Tdin.DW.sd","Tcin.DW.mean","Tcin.DW.sd","PGsum.DW.mean","PGsum.DW.sd","treatment"
"11","41","slow","176",3,"99",311.1,118.181730844776,62.1,75.2,10.1818628927078,21.2,"07-Jun-18","20:17:00","09-Jun-18","8:32:00",0,3,36.25,0.3315905051,118.181730844776,56.0817308447757,5.50800294953306,4.8616031718562,109.08194005147,0.514124802128689,0.365850179666667,0.194046555224437,1.315519702,0.175679164388001,0.190090117666667,0.124216893041242,1.16219309866667,0.166559511518813,3.033653098,0.639725279022236,"fast.med.slow"
"12","33","slow","176",2,"98",301.2,114.826812743765,38.8,89.8,12.3132677626559,24.8,"07-Jun-18","20:02:00","09-Jun-18","8:29:00",0,2,36.45,0.3315905051,114.826812743765,76.0268127437654,6.17438150531753,5.67178761018363,123.426030890806,0.615970652179732,0.365850179666667,0.194046555224437,1.315519702,0.175679164388001,0.190090117666667,0.124216893041242,1.16219309866667,0.166559511518813,3.033653098,0.639725279022236,"med.slow"
"13","30","slow","176",2,"97",267.9,103.542088222186,29.9,76.5,10.3716455181141,26.1,"07-Jun-18","19:59:00","09-Jun-18","8:27:00",0,2,36.4666666666667,0.3315905051,103.542088222186,73.6420882221855,7.10032830311924,6.63109427332288,109.969776184251,0.669657525707794,0.365850179666667,0.194046555224437,1.315519702,0.175679164388001,0.190090117666667,0.124216893041242,1.16219309866667,0.166559511518813,3.033653098,0.639725279022236,"med.slow"
"14","25","fast","63",1,"91",231.9,93.2851960329843,66.6,71.8,9.68550833395273,22.1,"07-Jun-18","19:55:00","09-Jun-18","8:24:00",0,2,36.4833333333333,0.2694030929,93.2851960329843,26.6851960329843,2.75516731934852,2.19964477032227,117.017511845076,0.228044466270262,1.45620037366667,0.694130356276375,0.488913569333333,0.255986162752006,1.30911232966667,0.660513143735731,1.03759770333333,0.517715555389742,4.291823976,1.88615413754846,"fast.med"
"15","35","fast","63",1,"92",279.5,107.109002843888,76.8,79.5,10.809605422898,19.8,"07-Jun-18","20:05:00","09-Jun-18","8:29:00",0,2,36.4,0.2694030929,107.109002843888,30.309002843888,2.80389539285906,2.34475830695899,80.2663665444936,0.377605267918624,1.45620037366667,0.694130356276375,0.488913569333333,0.255986162752006,1.30911232966667,0.660513143735731,1.03759770333333,0.517715555389742,4.291823976,1.88615413754846,"fast.slow"
"16","46","fast","63",1,"93",217.9,89.2193705003656,63.8,81.1,11.0431840387827,17.2,"07-Jun-18","20:19:00","09-Jun-18","8:34:00",0,3,36.25,0.2694030929,89.2193705003656,25.4193705003656,2.30181534701359,1.80347256233952,105.278819746193,0.241448095273549,1.45620037366667,0.694130356276375,0.488913569333333,0.255986162752006,1.30911232966667,0.660513143735731,1.03759770333333,0.517715555389742,4.291823976,1.88615413754846,"fast.med.slow"
"17","23","fast","172",1,"80",361.9,131.039290264444,84.5,70.2,9.451929718068,18.4,"07-Jun-18","19:54:00","09-Jun-18","8:22:00",0,2,36.4666666666667,0.3047535979,131.039290264444,46.5392902644439,4.92378716861181,4.47515020298891,56.4665497299716,0.824192207368772,0.408147412666667,0.364962820746314,1.39141535,0.678549886003061,0.276245377666667,0.320066367612552,1.343230356,0.402184448173876,3.41903849633333,0.464553711532487,"fast.slow"
"18","43","fast","172",1,"81",304.1,114.253239136918,97.7,81.1,11.0431840387827,30.8,"07-Jun-18","20:18:00","09-Jun-18","8:33:00",0,3,36.25,0.3047535979,114.253239136918,16.553239136918,1.49895529032066,1.06906465772834,123.633391544613,0.133889711590941,0.408147412666667,0.364962820746314,1.39141535,0.678549886003061,0.276245377666667,0.320066367612552,1.343230356,0.402184448173876,3.41903849633333,0.464553711532487,"fast.med.slow"
"19","22","fast","172",1,"79",316.2,117.767274061538,81.9,76,10.2986522006501,13.7,"07-Jun-18","19:53:00","09-Jun-18","8:22:00",0,2,36.4833333333333,0.3047535979,117.767274061538,35.8672740615385,3.48271534592402,3.03204952107437,71.1067712733787,0.504414325376163,0.408147412666667,0.364962820746314,1.39141535,0.678549886003061,0.276245377666667,0.320066367612552,1.343230356,0.402184448173876,3.41903849633333,0.464553711532487,"fast.med"
"20","5","fast","251",1,"106",258.2,100.923139712118,65.5,76.2,10.3278495276357,21.7,"07-Jun-18","19:19:00","09-Jun-18","8:02:00",0,2,36.7166666666667,0.3137767221,100.923139712118,35.423139712118,3.42986597716506,2.93122579301223,72.2894374361915,0.490018195858632,0.739994646,0.221957547131619,0.598330188,0.325822570057259,0.450973933666667,0.202163432118391,0.877477413,0.399151151196883,2.66677618066667,0.733281095746252,"fast.slow"
