Dish.ID,gen.num,genet.lf,vial.num,lf.init.wetmass_mg,lf.init.drymass_mg,lf.end.drymass_mg,gm.init.wetmass_mg,gm.init.drymass_mg,gm.end.drymass_mg,start.date_dmy,start.time_2400,start_24:00:00,end.date_dmy,end.time_2400,end_24:00:00,molting_bin
46,2,189,105,220.7,,72.9,81.1,,17.2,07-Jun-18,2019,20:19:00,09-Jun-18,834,8:34:00,0
47,2,320,42,269,,88.7,76.2,,11.8,07-Jun-18,2020,20:20:00,09-Jun-18,834,8:34:00,0
48,2,310,51,235.2,,47.8,71,,18.4,07-Jun-18,2021,20:21:00,09-Jun-18,835,8:35:00,0
1B,2,203,13B,416.9,,138.3,69.3,,10,09-Jun-18,1855,18:55:00,11-Jun-18,824,8:24:00,1
2B,2,268,49B,425.1,,157.9,89.7,,14.5,09-Jun-18,1900,19:00:00,11-Jun-18,825,8:25:00,0
9B,2,178,55B,228.7,,83.5,79.8,,12.8,09-Jun-18,1902,19:02:00,11-Jun-18,827,8:27:00,1
14B,2,66,3B,305.8,,92,81.6,,9.4,09-Jun-18,1904,19:04:00,11-Jun-18,827,8:27:00,1
16B,2,138,46B,263.5,,99.7,71.8,,9.2,09-Jun-18,1906,19:06:00,11-Jun-18,821,8:21:00,1
17B,2,256,16B,288.5,,105.6,83.4,,9.6,09-Jun-18,1908,19:08:00,11-Jun-18,822,8:22:00,1
24B,2,24,54B,305.5,,105.7,75.1,,14.5,09-Jun-18,1913,19:13:00,11-Jun-18,820,8:20:00,0
26B,2,207,45B,252.1,,81.5,77.2,,21.8,09-Jun-18,1912,19:12:00,11-Jun-18,814,8:14:00,0
27B,2,158,9B,244.3,,58.2,70.1,,15.8,09-Jun-18,1914,19:14:00,11-Jun-18,823,8:23:00,0
28B,2,320,50B,275.7,,105.7,80.1,,13.5,09-Jun-18,1915,19:15:00,11-Jun-18,817,8:17:00,0
29B,2,6,4B,244.8,,76.5,70,,12.5,09-Jun-18,1906,19:06:00,11-Jun-18,818,8:18:00,1
